Ref,Val,Package,PosX,PosY,Rot,Side
"BZ1","Buzzer","Buzzer_12x9.5RM7.6",173.200000,-82.500000,0.000000,top
"C1","10uF","C_0402_1005Metric",152.500000,-99.000000,180.000000,top
"C2","10uF","C_0402_1005Metric",143.520000,-147.500000,180.000000,top
"C3","100nF","C_0402_1005Metric",185.750000,-79.750000,90.000000,top
"C4","100nF","C_0402_1005Metric",152.500000,-96.500000,180.000000,top
"C5","1uF","C_0402_1005Metric",152.520000,-97.750000,180.000000,top
"C6","10uF","C_0402_1005Metric",169.500000,-140.250000,180.000000,top
"C7","10uF","C_0402_1005Metric",160.350000,-130.750000,180.000000,top
"C8","10uF","C_0402_1005Metric",158.200000,-132.200000,90.000000,top
"C9","10uF","C_0402_1005Metric",189.750000,-110.500000,-90.000000,top
"C10","100nF","C_0402_1005Metric",148.020000,-149.250000,180.000000,top
"C11","10uF","C_0402_1005Metric",163.400000,-131.200000,-90.000000,top
"C12","10uF","C_0402_1005Metric",186.250000,-114.530000,-90.000000,top
"C13","10uF","C_0402_1005Metric",188.000000,-112.500000,-90.000000,top
"C20","10uF","C_0402_1005Metric",159.070000,-124.437501,180.000000,top
"C22","0.1uF","C_0402_1005Metric",169.500000,-141.250000,180.000000,top
"C35","0.1uF","C_0402_1005Metric",158.870000,-125.937501,180.000000,top
"C36","10uF","C_0402_1005Metric",156.000000,-144.980000,-90.000000,top
"D1","LED","LED_0603_1608Metric",157.500000,-140.750000,-90.000000,top
"D4","SS14","D_SMA",167.400000,-134.400000,0.000000,top
"D7","IR LED","LED_D5.0mm",189.750000,-97.460000,-90.000000,top
"D8","IR LED","LED_D5.0mm",189.750000,-103.960000,-90.000000,top
"Flash1","Flash","SW_Push_1P1T_XKB_TS-1187A",163.000000,-149.000000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",173.000000,-148.750000,0.000000,top
"J2","Conn_01x02_Pin","PinSocket_1x02_P2.54mm_Vertical",142.250000,-149.750000,90.000000,top
"J4","J_NRF24","PinHeader_2x04_P2.54mm_Vertical",143.380000,-83.540000,90.000000,top
"J6","CC1101_Module","PinHeader_2x04_P2.54mm_Vertical",159.380000,-83.500000,90.000000,top
"J9","NFC_PN532","PinHeader_1x04_P2.54mm_Vertical",148.000000,-128.960000,0.000000,top
"J10","SD_Card_Module","PinHeader_1x06_P2.54mm_Vertical",179.000000,-123.380000,0.000000,top
"J11","1.69 inch IPS TFT LCD Display Module ST7789 SPI","PinHeader_1x08_P2.54mm_Vertical",143.000000,-95.450000,0.000000,top
"J12","NEO-6M GPS Module","PinHeader_1x04_P2.54mm_Vertical",143.500000,-128.920000,0.000000,top
"Q1","AO3401A","SOT-23",160.750000,-133.050000,180.000000,top
"Q2","AO3400A","SOT-23",179.250000,-100.550000,0.000000,top
"Q3","AO3400A","SOT-23",178.000000,-91.000000,90.000000,top
"R1","2K","R_0402_1005Metric",156.000000,-141.760000,90.000000,top
"R2","0R","R_0402_1005Metric",172.250000,-142.730000,90.000000,top
"R3","100R","R_0402_1005Metric",183.490000,-78.500000,180.000000,top
"R4","10K","R_0402_1005Metric",149.250000,-147.260000,-90.000000,top
"R5","100R","R_0402_1005Metric",176.000000,-101.250000,180.000000,top
"R8","4.7R","R_0805_2012Metric",184.500000,-97.500000,180.000000,top
"R9","4.7R","R_0805_2012Metric",184.500000,-104.000000,180.000000,top
"R11","10K","R_0402_1005Metric",178.250000,-105.050000,90.000000,top
"R12","200K","R_0402_1005Metric",156.750000,-133.000000,90.000000,top
"R13","10K","R_0402_1005Metric",178.250000,-94.250000,0.000000,top
"R14","5.1K","R_0402_1005Metric",169.490000,-142.750000,0.000000,top
"R15","2K","R_0402_1005Metric",153.500000,-140.500000,0.000000,top
"R17","5.1K","R_0402_1005Metric",175.500000,-142.260000,-90.000000,top
"R18","0R","R_0402_1005Metric",173.250000,-142.740000,90.000000,top
"R19","200K","R_0402_1005Metric",156.750000,-129.710000,90.000000,top
"R20","100K","R_0402_1005Metric",160.490000,-135.500000,0.000000,top
"R21","10K","R_0402_1005Metric",157.750000,-145.260000,-90.000000,top
"Reset2","Reset","SW_Push_1P1T_XKB_TS-1187A",153.500000,-149.000000,0.000000,top
"SW1","SW_SP5T_NR01105","SW_NKK_NR01",180.420000,-141.460000,0.000000,top
"U1","ESP32-S3-WROOM-1U","ESP32-S3-WROOM-1U",164.104394,-103.590000,0.000000,top
"U2","TSOP38438","Vishay_MINICAST-3Pin",187.975000,-83.540000,90.000000,top
"U3","MCP73831-2-OT","SOT-23-5",153.362500,-142.800000,0.000000,top
"U4","USBLC6-2SC6","SOT-23-6",172.750000,-139.000000,-90.000000,top
"U5","XC6220B331MR","SOT-23-5",161.600000,-127.050001,90.000000,top
